Re_D_1,x1,Re_D_2,x2,Re_D_3,x3
49.39045752496804,1.6189305969505057,25.635818046112945,1.509532827962289,399.1195779660932,12.449167559443723
98.81899558773489,2.699402389426808,39.443821051936766,2.2643703256139958,249.795634447147,9.889728917344925
199.6740305964429,4.609207366299231,49.31175774685062,2.7317454595305435,199.3693862940529,8.916877802092912
299.5542038375029,6.303557737711401,99.669460931907,4.673822422836139,148.9507542485187,7.836334925946048
499.3704017750608,8.90251890064026,150.0500124396424,6.292824103457207,100.54785200379797,6.253372666297707
399.45468669872207,7.710730080070675,198.48084041208222,7.480916573157799,50.22822935654062,3.772836898517909
24.68380460114463,0.9710029398175237,248.91470467273575,8.346075927514974,40.375524876745885,3.0900782428116713
15.790729673878332,0.7190824113611995,399.274438819808,10.259435087915264,25.60027621083418,2.012094378804889
10.85041457012153,0.5751379784819619,500.19294139151384,11.271808723997353,9.832394859635315,0.969936684759162
7.887748729379382,0.46723296657545177,,,,
4.92254418611742,0.39522520830054475,,,,
